date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2020-12-27,24427,24427,0,24418,8,1,24427,0
2020-12-28,18073,18073,0,42489,9,2,42500,0
2020-12-29,50229,50229,0,92717,9,3,92729,0
2020-12-30,64213,64213,0,156929,10,3,156942,0
2020-12-31,49985,49985,0,206912,12,3,206927,0
2021-01-01,25723,25723,0,232614,27,7,232650,0
2021-01-02,47835,47835,0,280446,28,7,280485,0
2021-01-03,22614,22614,0,303053,35,7,303099,0
2021-01-04,46362,46362,0,349385,46,8,349461,0
2021-01-05,52522,52522,0,401903,50,8,401983,0
2021-01-06,63128,63128,0,465022,57,10,465111,0
2021-01-07,54921,54921,0,519931,65,13,520032,0
2021-01-08,62906,62906,0,582781,118,16,582938,0
2021-01-09,60605,60605,0,643378,126,16,643543,0
2021-01-10,35858,35858,0,679224,136,17,679401,0
2021-01-11,68803,68803,0,748014,146,20,748204,0
2021-01-12,79365,79365,0,827354,167,23,827569,0
2021-01-13,112478,112478,0,938649,1350,23,940047,0
2021-01-14,84179,84179,0,1017704,6472,25,1024226,0
2021-01-15,91942,90965,977,1104339,11758,44,1115191,977
2021-01-16,58125,56881,1244,1160768,13452,45,1172072,2221
2021-01-17,47854,30771,17083,1207355,14717,46,1202843,19304
2021-01-18,83327,67562,15765,1286416,18980,49,1270405,35069
2021-01-19,119936,83836,36100,1402532,22749,100,1354241,71169
2021-01-20,133015,79030,53985,1532699,25593,104,1433271,125154
2021-01-21,105670,64541,41129,1635538,28419,108,1497812,166283
2021-01-22,102459,68811,33648,1735786,30616,122,1566623,199931
2021-01-23,87119,40785,46334,1822539,30977,127,1607408,246265
2021-01-24,47869,25709,22160,1870199,31181,131,1633117,268425
2021-01-25,91104,52366,38738,1959845,32636,134,1685483,307163
2021-01-26,98753,51235,47518,2057148,34079,141,1736718,354681
2021-01-27,109702,51173,58529,2165046,35873,149,1787891,413210
2021-01-28,92810,47030,45780,2256217,37508,153,1834921,458990
2021-01-29,107856,49889,57967,2362514,38995,224,1884810,516957
2021-01-30,88197,34691,53506,2449821,39879,228,1919501,570463
2021-01-31,57292,25823,31469,2506722,40264,233,1945324,601932
2021-02-01,120569,58403,62166,2625010,42488,289,2003727,664098
2021-02-02,132955,65531,67424,2754798,45628,314,2069258,731522
2021-02-03,163233,64645,98588,2911601,52030,341,2133903,830110
2021-02-04,134731,62168,72563,3040422,57932,349,2196071,902673
2021-02-05,147682,69434,78248,3181617,64409,358,2265505,980921
2021-02-06,94242,45623,48619,3273218,67048,359,2311128,1029540
2021-02-07,53591,28308,25283,3324463,69390,362,2339436,1054823
2021-02-08,109523,53028,56495,3430113,73232,392,2392464,1111318
2021-02-09,134858,60317,74541,3561312,76704,579,2452781,1185859
2021-02-10,155640,77843,77797,3704233,81023,8978,2530624,1263656
2021-02-11,144835,75763,69072,3825201,88370,25496,2606387,1332728
2021-02-12,156387,80353,76034,3957776,97755,39917,2686740,1408762
2021-02-13,107939,62098,45841,4049020,101034,53332,2748838,1454603
2021-02-14,65511,39668,25843,4104742,103519,60635,2788506,1480446
2021-02-15,125995,70200,55795,4209850,108845,76184,2858706,1536241
2021-02-16,135065,78365,56700,4318955,115063,95925,2937071,1592941
2021-02-17,151995,95474,56521,4441887,123136,116911,3032545,1649462
2021-02-18,145344,91913,53431,4554902,131430,140940,3124458,1702893
2021-02-19,159021,103197,55824,4676212,141479,168601,3227655,1758717
2021-02-20,112625,76237,36388,4762981,145964,189966,3303892,1795105
2021-02-21,86100,57765,28335,4829615,149615,205778,3361657,1823440
2021-02-22,156754,98360,58394,4953266,158694,229801,3460017,1881834
2021-02-23,170680,110071,60609,5087655,166062,258722,3570088,1942443
2021-02-24,177272,117747,59525,5219922,173727,296061,3687835,2001968
2021-02-25,190515,131022,59493,5352079,180523,347623,3818857,2061461
2021-02-26,214407,146676,67731,5494183,189412,411037,3965533,2129192
2021-02-27,148463,108588,39875,5587047,193505,462540,4074121,2169067
2021-02-28,103716,79510,24206,5648752,197480,500574,4153631,2193273
2021-03-01,199544,149576,49968,5779894,207200,559256,4303207,2243241
2021-03-02,220392,168089,52303,5920957,217311,628474,4471296,2295544
2021-03-03,248823,177915,70908,6079771,232501,703292,4649211,2366452
2021-03-04,245950,182702,63248,6221694,247026,792794,4831913,2429700
2021-03-05,276258,208698,67560,6370542,260446,906782,5040611,2497260
2021-03-06,203148,154359,48789,6480187,269316,991415,5194970,2546049
2021-03-07,148075,114496,33579,6560161,276007,1052825,5309466,2579628
2021-03-08,238830,186853,51977,6694953,287002,1145867,5496319,2631605
2021-03-09,253509,198434,55075,6835774,299846,1245711,5694753,2686680
2021-03-10,289857,222324,67533,6995206,312129,1363852,5917077,2754213
2021-03-11,285153,224107,61046,7142786,325959,1487595,6141184,2815259
2021-03-12,328939,257738,71201,7294902,343373,1647003,6398922,2886460
2021-03-13,241871,191430,50441,7411311,352999,1762839,6590352,2936901
2021-03-14,170710,134969,35741,7499722,358523,1839614,6725321,2972642
2021-03-15,249771,190415,59356,7653112,371393,1923125,6915736,3031998
2021-03-16,179735,111269,68466,7820313,382718,1924334,7027005,3100464
2021-03-17,206224,124950,81274,8007648,400789,1925151,7151955,3181738
2021-03-18,194470,118533,75937,8182461,419045,1926552,7270488,3257675
2021-03-19,246409,161635,84774,8368780,439978,1965709,7432123,3342449
2021-03-20,221521,168075,53446,8504834,455339,2035815,7600198,3395895
2021-03-21,165089,126707,38382,8607401,464553,2089122,7726905,3434277
2021-03-22,270195,193364,76831,8774079,488554,2168638,7920269,3511108
2021-03-23,299489,214991,84498,8953018,508574,2269166,8135260,3595606
2021-03-24,339854,250185,89669,9151333,541997,2377279,8385445,3685275
2021-03-25,333068,251649,81419,9335910,569852,2497914,8637094,3766694
2021-03-26,374953,285789,89164,9535695,607281,2635651,8922883,3855858
2021-03-27,282663,220044,62619,9685802,635004,2740481,9142927,3918477
2021-03-28,196928,143541,53387,9801421,653575,2803216,9286468,3971864
2021-03-29,305880,216803,89077,9990379,678762,2894950,9503271,4060941
2021-03-30,326393,233812,92581,10205693,703357,2981433,9737083,4153522
2021-03-31,334480,232737,101743,10451783,739883,3033296,9969820,4255265
2021-04-01,332661,241671,90990,10692471,772547,3092585,10211491,4346274
2021-04-02,226606,158524,68082,10872526,787017,3124661,10370015,4414361
2021-04-03,232672,167885,64787,11046887,802940,3167049,10537900,4479148
2021-04-04,193658,142991,50667,11179651,813047,3217833,10680891,4529815
2021-04-05,248688,178186,70502,11345341,830957,3282921,10859077,4600317
2021-04-06,392557,297858,94699,11617529,863256,3370975,11156935,4695030
2021-04-07,725891,629464,96427,12216384,900703,3460547,11786399,4791473
2021-04-08,718490,631377,87113,12806599,936631,3552879,12417776,4878598
2021-04-09,621760,532737,89023,13285744,973535,3658583,12950513,4967626
2021-04-10,369552,304210,65342,13530159,996881,3760373,13254723,5032968
2021-04-11,261247,210772,50475,13698089,1015640,3834930,13465495,5083443
2021-04-12,412271,335423,76848,13968615,1045117,3947181,13800918,5160306
2021-04-13,603978,529940,74038,14427676,1072557,4064648,14330858,5234354
2021-04-14,808422,724505,83917,15077256,1106428,4189599,15055363,5318291
2021-04-15,682491,611748,70743,15614080,1142908,4298761,15667111,5389058
2021-04-16,582765,508119,74646,16037779,1175648,4425078,16175230,5463712
2021-04-17,359281,302581,56700,16255949,1198381,4543456,16477811,5520412
2021-04-18,267283,228162,39121,16425234,1213815,4626019,16705973,5559533
2021-04-19,398533,336463,62070,16712925,1247254,4703409,17042436,5621616
2021-04-20,589339,525717,63622,17111989,1286851,4854067,17568153,5685255
2021-04-21,749517,675277,74240,17582809,1329199,5090391,18243430,5759520
2021-04-22,639714,571629,68085,17963558,1373837,5304683,18815059,5827640
2021-04-23,541819,472045,69774,18309016,1417767,5457096,19287104,5897422
2021-04-24,362740,303487,59253,18541969,1467421,5537225,19590591,5956675
2021-04-25,280457,231107,49350,18728927,1501155,5596986,19821698,6006025
2021-04-26,436656,361920,74736,19055289,1543757,5664580,20183618,6080781
2021-04-27,859472,764836,94636,19809149,1595494,5717879,20948454,6175434
2021-04-28,1162664,1029687,132977,20859920,1656462,5767988,21978141,6308437
2021-04-29,946458,809352,137106,21685534,1720352,5824042,22787493,6445564
2021-04-30,766788,629421,137367,22329333,1777853,5888601,23416914,6582951
2021-05-01,324081,250881,73200,22569415,1819571,5928249,23667795,6656151
2021-05-02,258978,193817,65161,22759026,1857087,5958289,23861612,6721317
2021-05-03,454535,338314,116221,23074272,1927951,6025014,24199926,6837553
2021-05-04,897993,734306,163687,23744443,1991367,6186320,24934232,7001272
2021-05-05,1210824,972447,238377,24645683,2070766,6411902,25906679,7239667
2021-05-06,1001567,778041,223526,25342671,2163546,6619017,26684720,7463242
2021-05-07,857934,624388,233546,25900547,2250593,6827447,27309108,7696864
2021-05-08,413141,261353,151788,26157798,2322747,6909476,27570461,7848652
2021-05-09,280888,179709,101179,26348832,2379328,6941672,27750170,7949840
2021-05-10,603933,411692,192241,26729118,2461424,7078872,28161862,8142190
2021-05-11,1167243,868088,299155,27630297,2542241,7260289,29029950,8441391
2021-05-12,1469577,1096099,373477,28771041,2634707,7490835,30126049,8814950
2021-05-13,414424,259491,154933,29071298,2701732,7535295,30385540,8969891
2021-05-14,741438,518831,222607,29603364,2766858,7671696,30904371,9192543
2021-05-15,393980,234384,159596,29872315,2827793,7731493,31138755,9352148
2021-05-16,274209,158676,115533,30067145,2880385,7753539,31297431,9467687
2021-05-17,551980,352891,199089,30394916,2966469,7881624,31650322,9666867
2021-05-18,932169,558883,373286,31036622,3067847,8062774,32209205,10040260
2021-05-19,1190125,622058,568067,31913153,3168748,8263013,32831263,10608545
2021-05-20,985024,483496,501528,32623399,3266244,8429574,33314759,11110281
2021-05-21,843460,419107,424353,33203414,3352430,8594729,33733866,11535158
2021-05-22,397090,185897,211193,33452735,3421453,8659270,33919763,11746681
2021-05-23,272201,122844,149357,33641717,3481053,8674072,34042607,11896152
2021-05-24,316186,142034,174152,33872827,3542767,8689270,34184641,12070458
2021-05-25,686368,311952,374416,34343080,3622756,8796181,34496593,12464835
2021-05-26,1276608,595392,681216,35308340,3706022,8935177,35091985,13225451
2021-05-27,1056825,496838,559987,36055717,3795893,9068529,35588823,13861965
2021-05-28,888201,439073,449128,36642423,3882133,9197150,36027896,14386565
2021-05-29,406226,181926,224300,36894165,3944790,9259366,36209822,14629567
2021-05-30,273623,102660,170963,37084489,3991966,9286171,36312482,14803132
2021-05-31,581552,249520,332032,37465359,4059985,9366920,36562002,15180785
2021-06-01,1028181,500426,527486,38252484,4139896,9442370,37062428,15787732
2021-06-02,1318024,665976,651865,39300973,4213121,9523424,37728404,16547362
2021-06-03,641707,285743,355795,39773530,4277878,9573738,38014147,16949867
2021-06-04,800281,363719,436135,40345964,4349087,9651484,38377866,17459284
2021-06-05,412532,130427,281938,40609666,4416080,9695114,38508293,17771295
2021-06-06,272877,63321,209436,40803858,4456832,9719972,38571614,17985282
2021-06-07,610604,244991,365497,41198525,4541958,9796348,38816605,18401810
2021-06-08,1147900,442152,705588,42135171,4617506,9858874,39258757,19176494
2021-06-09,1508809,577797,930770,43392191,4704893,9923493,39836554,20198523
2021-06-10,1219609,512235,707091,44370529,4794558,9981690,40348789,20992631
2021-06-11,1037009,460145,576472,45151380,4884285,10050086,40808934,21657441
2021-06-12,433963,166951,266809,45428009,4957139,10095550,40975885,21955894
2021-06-13,262095,67650,194220,45591740,5020669,10119176,41043535,22155995
2021-06-14,641909,263892,377632,46003307,5122219,10191199,41307427,22585893
2021-06-15,1144301,445215,698816,46895720,5226721,10276432,41752642,23344123
2021-06-16,1441808,566764,874868,48054153,5332731,10375767,42319406,24292101
2021-06-17,1159500,480557,678166,48945417,5436565,10468409,42799963,25038210
